CUSIP,Company_Name,YEAR,FQTR,EPS,Price
FO1U8JWV8,Johnson-Thompson,2015.0,1.0,-2.25,11.47
FO1U8JWV8,Johnson-Thompson,2015.0,2.0,-1.98,10.67
FO1U8JWV8,Johnson-Thompson,2015.0,3.0,-7.07,8.03
FO1U8JWV8,Johnson-Thompson,2015.0,4.0,-3.13,7.16
FO1U8JWV8,Johnson-Thompson,2016.0,1.0,-1.33,9.56
FO1U8JWV8,Johnson-Thompson,2016.0,2.0,1.73,11.77
FO1U8JWV8,Johnson-Thompson,2016.0,3.0,6.51,13.66
FO1U8JWV8,Johnson-Thompson,2016.0,4.0,4.32,10.81
C5Q6A7Z3,Barr Inc,2015.0,1.0,1.23,28.31
C5Q6A7Z3,Barr Inc,2015.0,2.0,1.66,36.21
C5Q6A7Z3,Barr Inc,2015.0,3.0,1.86,36.11
C5Q6A7Z3,Barr Inc,2015.0,4.0,1.86,22.39
C5Q6A7Z3,Barr Inc,2016.0,1.0,1.87,25.1
C5Q6A7Z3,Barr Inc,2016.0,2.0,1.83,21.89
C5Q6A7Z3,Barr Inc,2016.0,3.0,1.91,25.42
C5Q6A7Z3,Barr Inc,2016.0,4.0,1.91,31.99
BBXPLN454,Adams Inc,2015.0,1.0,8.33,152.6
BBXPLN454,Adams Inc,2015.0,2.0,8.91,149.75
BBXPLN454,Adams Inc,2015.0,3.0,6.94,135.02
BBXPLN454,Adams Inc,2015.0,4.0,6.58,133.0
BBXPLN454,Adams Inc,2016.0,1.0,6.52,144.55
BBXPLN454,Adams Inc,2016.0,2.0,10.2,158.17
BBXPLN454,Adams Inc,2016.0,3.0,12.56,171.0
BBXPLN454,Adams Inc,2016.0,4.0,14.46,175.9
DU6GIIQG0,Fowler and Sons,2015.0,1.0,0.87,17.85
DU6GIIQG0,Fowler and Sons,2015.0,2.0,1.02,18.01
DU6GIIQG0,Fowler and Sons,2015.0,3.0,1.38,17.75
DU6GIIQG0,Fowler and Sons,2015.0,4.0,0.74,18.5
DU6GIIQG0,Fowler and Sons,2016.0,1.0,0.59,16.8
DU6GIIQG0,Fowler and Sons,2016.0,2.0,0.52,17.3
DU6GIIQG0,Fowler and Sons,2016.0,3.0,0.72,21.73
DU6GIIQG0,Fowler and Sons,2016.0,4.0,0.84,21.73
VHL39NQ,Moreno and Sons,2015.0,1.0,,13.96
VHL39NQ,Moreno and Sons,2015.0,2.0,,13.97
VHL39NQ,Moreno and Sons,2015.0,3.0,,12.75
VHL39NQ,Moreno and Sons,2015.0,4.0,,12.83
VHL39NQ,Moreno and Sons,2016.0,1.0,,12.65
VHL39NQ,Moreno and Sons,2016.0,2.0,,12.67
VHL39NQ,Moreno and Sons,2016.0,3.0,,13.15
VHL39NQ,Moreno and Sons,2016.0,4.0,,12.71
AO9KKV1WD,Berg-Glover,2015.0,1.0,6.04,106.53
AO9KKV1WD,Berg-Glover,2015.0,2.0,6.6,127.46
AO9KKV1WD,Berg-Glover,2015.0,3.0,6.52,109.41
AO9KKV1WD,Berg-Glover,2015.0,4.0,6.78,108.12
AO9KKV1WD,Berg-Glover,2016.0,1.0,6.67,112.35
AO9KKV1WD,Berg-Glover,2016.0,2.0,6.82,122.13
AO9KKV1WD,Berg-Glover,2016.0,3.0,6.93,115.45
AO9KKV1WD,Berg-Glover,2016.0,4.0,6.41,124.01
XEBKQU40P,Nash Inc,2015.0,1.0,13.69,456.58
XEBKQU40P,Nash Inc,2015.0,2.0,13.79,410.0
XEBKQU40P,Nash Inc,2015.0,3.0,13.88,374.0
XEBKQU40P,Nash Inc,2015.0,4.0,15.04,384.11
XEBKQU40P,Nash Inc,2016.0,1.0,15.86,380.55
XEBKQU40P,Nash Inc,2016.0,2.0,16.72,409.23
XEBKQU40P,Nash Inc,2016.0,3.0,17.29,419.6
XEBKQU40P,Nash Inc,2016.0,4.0,16.91,426.87
X2LW56Y34,Gordon-Chavez,2015.0,1.0,36.89,487.0
X2LW56Y34,Gordon-Chavez,2015.0,2.0,39.23,468.76
X2LW56Y34,Gordon-Chavez,2015.0,3.0,33.91,468.11
X2LW56Y34,Gordon-Chavez,2015.0,4.0,35.13,477.93
X2LW56Y34,Gordon-Chavez,2016.0,1.0,37.26,496.2
X2LW56Y34,Gordon-Chavez,2016.0,2.0,30.89,549.58
X2LW56Y34,Gordon-Chavez,2016.0,3.0,34.91,525.02
X2LW56Y34,Gordon-Chavez,2016.0,4.0,29.59,608.12
YN1JN5PX,"Moore, Hoffman and Archer",2015.0,1.0,,
YN1JN5PX,"Moore, Hoffman and Archer",2015.0,2.0,,
YN1JN5PX,"Moore, Hoffman and Archer",2015.0,3.0,,
YN1JN5PX,"Moore, Hoffman and Archer",2015.0,4.0,,
YN1JN5PX,"Moore, Hoffman and Archer",2016.0,1.0,,
YN1JN5PX,"Moore, Hoffman and Archer",2016.0,2.0,,
YN1JN5PX,"Moore, Hoffman and Archer",2016.0,3.0,,
YN1JN5PX,"Moore, Hoffman and Archer",2016.0,4.0,,
QMEHFBLE,Hartman Inc,2015.0,1.0,3.3,50.9
QMEHFBLE,Hartman Inc,2015.0,2.0,3.35,45.69
QMEHFBLE,Hartman Inc,2015.0,3.0,3.57,45.07
